zpid,streetName,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,zestimate,rentZestimate,isPreforeclosureAuction,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,is_newHome,newConstructionType,datePriceChanged,priceReduction,priceChange,is_openHouse,openHouse,open_house_showing,imgSrc,homeDetailUrl,price_to_rent_ratio
2055198748,4127 S Crosby Ln 103,West Valley City,UT,84128,40.69946,-112.04282,1033675,5,6,4891,SINGLE_FAMILY,FOR_SALE,-1,,3818,FALSE,FALSE,USD,USA,,8712,sqft,TRUE,BUILDER_SPEC,,,,,,,https://photos.zillowstatic.com/fp/1feedb55f70e1b3f111fe0c8c1a77e10-p_e.jpg,https://www.zillow.com/homedetails/4127-S-Crosby-Ln-103-West-Valley-City-UT-84128/2055198748_zpid/,
12754777,1116 E 400 S,Salt Lake City,UT,84102,40.76033,-111.85887,1100000,4,5,2596,MULTI_FAMILY,FOR_SALE,-1,1079000,3900,FALSE,FALSE,USD,USA,602500,5662.8,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/03ae03879daeb686339d52c70a359028-p_e.jpg,https://www.zillow.com/homedetails/1116-E-400-S-Salt-Lake-City-UT-84102/12754777_zpid/,276.6666667
2072621279,956 S Edison St E,Salt Lake City,UT,84111,40.748318,-111.88713,550000,3,3,1970,SINGLE_FAMILY,FOR_SALE,-1,538600,2900,FALSE,FALSE,USD,USA,,7405.2,sqft,,,1.71E+12,"$100,000 (Feb 5)",-100000,,,,https://photos.zillowstatic.com/fp/c903c3fc44d8396f7159f11445f8eceb-p_e.jpg,https://www.zillow.com/homedetails/956-S-Edison-St-E-Salt-Lake-City-UT-84111/2072621279_zpid/,185.7241379
12744533,2902 S Corbin Dr,West Valley City,UT,84120,40.70748,-111.9817,419900,2,5,1506,SINGLE_FAMILY,FOR_SALE,-1,418000,2564,FALSE,FALSE,USD,USA,386300,7405.2,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/95ba650ce1b58534255b3843d42b645e-p_e.jpg,https://www.zillow.com/homedetails/2902-S-Corbin-Dr-West-Valley-City-UT-84120/12744533_zpid/,163.0265211
12709380,2020 W 2670 N,Salt Lake City,UT,84116,40.82717,-111.94829,750000,2,2,1365,SINGLE_FAMILY,FOR_SALE,-1,747900,2092,FALSE,FALSE,USD,USA,413200,0.9,acres,,,,,,,,,https://photos.zillowstatic.com/fp/586026edc3975a67fffa1cb06c0a245e-p_e.jpg,https://www.zillow.com/homedetails/2020-W-2670-N-Salt-Lake-City-UT-84116/12709380_zpid/,357.5047801
55441511,3210 S 3200 W,West Valley City,UT,84119,40.7019,-111.96818,750000,2,6,2064,SINGLE_FAMILY,FOR_SALE,-1,737900,2594,FALSE,FALSE,USD,USA,308200,0.63,acres,,,,,,,,,https://photos.zillowstatic.com/fp/195db21b3083e0d00c7114fb573b235d-p_e.jpg,https://www.zillow.com/homedetails/3210-S-3200-W-West-Valley-City-UT-84119/55441511_zpid/,284.464148
2069338337,250 N State St E,Salt Lake City,UT,84103,40.7749,-111.88797,1060000,5,7,3948,MULTI_FAMILY,FOR_SALE,-1,1016400,3806,FALSE,FALSE,USD,USA,,8276.4,sqft,,,1.71E+12,"$39,000 (Mar 25)",-39000,,,,https://photos.zillowstatic.com/fp/0c8adebbdd4cefd62806bfcc84f6b55e-p_e.jpg,https://www.zillow.com/homedetails/250-N-State-St-E-Salt-Lake-City-UT-84103/2069338337_zpid/,267.0520231
305058480,1470 S Edison St,Salt Lake City,UT,84115,40.737633,-111.88714,990000,4,6,2726,MULTI_FAMILY,FOR_SALE,-1,956800,3712,FALSE,FALSE,USD,USA,730300,6969.6,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/e89242dc4ee06ac678d77031073aecee-p_e.jpg,https://www.zillow.com/homedetails/1470-S-Edison-St-Salt-Lake-City-UT-84115/305058480_zpid/,257.7586207
2075772144,860 E 3rd Ave,Salt Lake City,UT,84103,40.77259,-111.863655,1500000,4,3,2181,TOWNHOUSE,FOR_SALE,-1,1451600,5561,FALSE,FALSE,USD,USA,760100,435.6,sqft,TRUE,NEW_CONSTRUCTION_TYPE_OTHER,,,,,,,https://photos.zillowstatic.com/fp/aa1b76a0edd05408e1fd14d8ef5b181c-p_e.jpg,https://www.zillow.com/homedetails/860-E-3rd-Ave-Salt-Lake-City-UT-84103/2075772144_zpid/,261.0321885
141822842,1804 W 400 N,Salt Lake City,UT,84116,40.778378,-111.942535,825000,4,8,3584,MULTI_FAMILY,FOR_SALE,-1,803500,3587,FALSE,FALSE,USD,USA,675300,8712,sqft,,,1.71E+12,"$25,000 (Apr 16)",-25000,,,,https://photos.zillowstatic.com/fp/18e6603a9cb6eca993fd64c109eb761c-p_e.jpg,https://www.zillow.com/homedetails/1804-W-400-N-Salt-Lake-City-UT-84116/141822842_zpid/,224.0033454
